competition,match_id,date,season,team,opponent,win,chase,close_game,run_diff,runs,legal_balls_faced,runs_allowed,legal_balls_bowled,wickets_lost,wickets_taken,dot_balls_bat,dot_balls_bowl,boundaries,pp_runs,pp_legal_balls,death_runs,death_legal_balls,fielding_dismissals,run_rate,runs_per_ball,dot_ball_rate_bat,dot_ball_rate_bowl,bowler_wkts_per_match,powerplay_economy,death_economy,runs_allowed_per_legal_ball,boundary_rate_per_ball,death_run_rate,powerplay_run_rate,fielding_dismissals_per_match,n_matches,EDGE
LPL,1238753,2020-11-27,2020/21,Galle Gladiators,Jaffna Stallions,0,0,0,-1,175,120,176,117,8,2,46,41,23,53,36,77,30,10,8.75,1.4583333333333333,0.38333333333333336,0.3504273504273504,2,8.833333333333334,15.400000000000002,1.5042735042735043,0.19166666666666668,15.400000000000002,8.833333333333334,10,10,14.000000000000002
LPL,1238753,2020-11-27,2020/21,Jaffna Stallions,Galle Gladiators,1,1,0,1,176,117,175,120,2,8,41,46,19,51,36,38,27,10,9.025641025641026,1.5042735042735043,0.3504273504273504,0.38333333333333336,8,8.5,8.444444444444445,1.4583333333333333,0.1623931623931624,8.444444444444445,8.5,10,9,86.0
LPL,1238754,2020-11-28,2020/21,Dambulla Viiking,Kandy Tuskers,1,0,1,111,195,120,84,58,5,3,31,21,25,53,36,65,30,6,9.75,1.625,0.25833333333333336,0.3620689655172414,3,8.833333333333334,13.0,1.4482758620689655,0.20833333333333334,13.0,8.833333333333334,6,8,66.0
LPL,1238754,2020-11-28,2020/21,Kandy Tuskers,Dambulla Viiking,0,1,1,-111,84,58,195,120,3,5,21,31,11,61,36,0,0,6,8.689655172413794,1.4482758620689655,0.3620689655172414,0.25833333333333336,5,10.166666666666666,,1.625,0.1896551724137931,,10.166666666666666,6,7,2.0
LPL,1238755,2020-11-28,2020/21,Colombo Kings,Galle Gladiators,1,0,0,34,96,30,62,30,1,2,5,10,16,96,30,0,0,3,19.200000000000003,3.2,0.16666666666666666,0.3333333333333333,2,19.200000000000003,,2.066666666666667,0.5333333333333333,,19.200000000000003,3,8,62.0
LPL,1238755,2020-11-28,2020/21,Galle Gladiators,Colombo Kings,0,1,0,-34,62,30,96,30,2,1,10,5,10,62,30,0,0,3,12.400000000000002,2.066666666666667,0.3333333333333333,0.16666666666666666,1,12.400000000000002,,3.2,0.3333333333333333,,12.400000000000002,3,10,14.000000000000002
LPL,1238756,2020-11-30,2020/21,Jaffna Stallions,Dambulla Viiking,1,0,0,66,218,120,152,115,7,10,32,51,30,40,36,87,30,17,10.9,1.8166666666666667,0.26666666666666666,0.4434782608695652,10,6.666666666666667,17.4,1.3217391304347825,0.25,17.4,6.666666666666667,17,9,86.0
LPL,1238756,2020-11-30,2020/21,Dambulla Viiking,Jaffna Stallions,0,1,0,-66,152,115,218,120,10,7,51,32,19,48,36,27,25,17,7.930434782608695,1.3217391304347825,0.4434782608695652,0.26666666666666666,7,8.0,6.48,1.8166666666666667,0.16521739130434782,6.48,8.0,17,8,66.0
LPL,1238757,2020-11-30,2020/21,Kandy Tuskers,Galle Gladiators,1,0,0,25,196,120,171,120,5,7,34,37,27,67,36,54,30,12,9.8,1.6333333333333333,0.2833333333333333,0.30833333333333335,7,11.166666666666668,10.8,1.425,0.225,10.8,11.166666666666668,12,7,2.0
LPL,1238757,2020-11-30,2020/21,Galle Gladiators,Kandy Tuskers,0,1,0,-25,171,120,196,120,7,5,37,34,24,53,36,37,30,12,8.55,1.425,0.30833333333333335,0.2833333333333333,5,8.833333333333334,7.4,1.6333333333333333,0.2,7.4,8.833333333333334,12,10,14.000000000000002
